filename,x,y,cluster
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 252,255 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_255-Camara_Amacayacu-9_crop1.npy",-4.7665977,0.19288972,8
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 255,256,257 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_255-Camara_Amacayacu-0_crop0.npy",-19.10009,14.701808,0
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 255,256,257 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_255-Camara_Amacayacu-1_crop0.npy",-24.493877,21.469408,0
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 255,256,257 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_257-Camara_Amacayacu-2_crop0.npy",-25.326857,23.111448,0
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 257,259 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_257-Camara_Amacayacu-2_crop0.npy",-35.014706,34.76505,0
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 255,256,257 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_257-Camara_Amacayacu-3_crop0.npy",-23.823822,21.220078,0
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 255,256,257 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_257-Camara_Amacayacu-4_crop0.npy",-23.234663,22.421738,0
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 255,256,257 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_257-Camara_Amacayacu-5_crop0.npy",-26.86136,23.175497,0
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 255,256,257 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_257-Camara_Amacayacu-6_crop0.npy",-26.812357,21.945827,0
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 255,256,257 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_257-Camara_Amacayacu-7_crop0.npy",-9.603727,-3.2465668,8
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 255,256,257 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_257-Camara_Amacayacu-8_crop0.npy",-35.019135,34.762184,0
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 257,259 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_257-Camara_Amacayacu-8_crop0.npy",-31.040522,-13.111254,9
"..\\..\\..\\..\\Correos\\2024\December\04\TRACK ALERT ID 257,259 at , Serial_ T010987 Prueba Amacayacu 2024\features_0\2024-December-04_257-Camara_Amacayacu-0_crop0.npy",-26.812397,21.945889,0
